FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-408.725728;-;-;-;-733.691719;-723.877139;-;
0;-;0.300000;-431.977471;-;-;-;-733.691719;-723.877139;-;
0;-;0.500000;-447.478633;-;-;-;-733.691719;-723.877139;-;
0;-;0.700000;-462.979794;-;-;-;-733.691719;-723.877139;-;
0;-;1.000000;-486.231537;-;-;-;-733.691719;-723.877139;-;
1;0;0.000000;-465.944182;-;-;-;-733.691719;-723.877139;-;
1;1;0.500000;-449.784101;-;-;-;-733.691719;-723.877139;-;
1;1;2.000000;-456.540595;-;-;-;-733.691719;-723.877139;-;
1;1;5.000000;-468.169749;-;-;-;-733.691719;-723.877139;-;
1;1;10.000000;-479.680822;-;-;-;-733.691719;-723.877139;-;
1;2;0.500000;-469.525762;-;-;-;-733.691719;-723.877139;-;
1;2;2.000000;-477.886189;-;-;-;-733.691719;-723.877139;-;
1;2;5.000000;-484.811113;-;-;-;-733.691719;-723.877139;-;
1;2;10.000000;-486.186840;-;-;-;-733.691719;-723.877139;-;
1;3;0.500000;-462.067194;-;-;-;-733.691719;-723.877139;-;
1;3;2.000000;-449.699163;-;-;-;-733.691719;-723.877139;-;
1;3;5.000000;-429.280491;-;-;-;-733.691719;-723.877139;-;
1;3;10.000000;-414.379082;-;-;-;-733.691719;-723.877139;-;
1;4;2.000000;-480.921267;-;-;-;-733.691719;-723.877139;-;
1;4;5.000000;-486.136303;-;-;-;-733.691719;-723.877139;-;
1;4;10.000000;-486.231420;-;-;-;-733.691719;-723.877139;-;
1;5;2.000000;-450.967097;-;-;-;-733.691719;-723.877139;-;
1;5;5.000000;-425.721606;-;-;-;-733.691719;-723.877139;-;
1;5;10.000000;-412.452673;-;-;-;-733.691719;-723.877139;-;
2;0;0/0.000000;-471.445472;0.002286;0.339890;1.000118;-733.691719;-724.551344;0.000023;
2;1;-1/1.000000;-471.776921;0.001948;0.339554;1.000160;-733.691719;-724.555546;0.000023;
2;2;-1/0.500000;-471.558444;0.002181;0.338457;1.000128;-733.691719;-724.553173;0.000023;
2;2;-1/2.000000;-471.849864;0.001917;0.340703;1.000160;-733.691719;-724.555741;0.000023;
2;2;-1/5.000000;-472.407960;0.001465;0.349688;1.000172;-733.691719;-724.561307;0.000024;
2;2;-1/10.000000;-473.174224;0.001032;0.326452;1.000186;-733.691719;-724.573398;0.000026;
2;2;-1/20.000000;-474.314834;0.000634;0.324788;1.000252;-733.691719;-724.586643;0.000028;
2;2;-1/40.000000;-475.828006;0.000352;0.267437;1.000276;-733.691719;-724.612834;0.000036;
2;2;-1/80.000000;-477.595642;0.000225;0.164124;1.000138;-733.691719;-724.639270;0.000047;
2;3;-1/1.000000;-472.239614;0.001509;0.340267;1.000152;-733.691719;-724.559002;0.000024;
2;3;-1/2.000000;-472.462111;0.001363;0.338041;1.000145;-733.691719;-724.563235;0.000024;
2;3;-1/5.000000;-473.041169;0.001028;0.328742;1.000240;-733.691719;-724.571060;0.000026;
2;3;-1/10.000000;-473.806164;0.000723;0.323628;1.000210;-733.691719;-724.578483;0.000027;
2;3;-1/20.000000;-474.917568;0.000465;0.316129;1.000173;-733.691719;-724.595498;0.000031;
2;4;-1/1.000000;-471.721650;0.002003;0.340910;1.000183;-733.691719;-724.554128;0.000023;
2;4;-1/2.000000;-471.582290;0.002128;0.338180;1.000146;-733.691719;-724.553527;0.000024;
2;4;-1/5.000000;-471.506963;0.002209;0.342126;1.000135;-733.691719;-724.552875;0.000023;
2;4;-1/10.000000;-471.476392;0.002251;0.340792;1.000105;-733.691719;-724.551632;0.000023;
2;4;-1/20.000000;-471.457670;0.002270;0.339694;1.000128;-733.691719;-724.551890;0.000023;

